target,budget,repeat,fold,model,preprocessing,best_epoch,validation_loss,parameters,device,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
N,60,1,1,Patch transformer,SNV + patches(16),24,0.8013499975204468,108803,mps,0.3895395159391562,0.6719973611869486,0.2078014262618757,0.5415497456079416,0.8273192038798165,18.77411305871624
P,60,1,1,Patch transformer,SNV + patches(16),24,0.8013499975204468,108803,mps,13.816651421254472,24.118029663096994,-0.4341597752613542,0.6425661721327354,24.156710923220352,0.16012635265745565
K,60,1,1,Patch transformer,SNV + patches(16),24,0.8013499975204468,108803,mps,0.9072522312383512,1.5239969007758418,-0.015742737240962867,0.6995424768319997,1.7422233128591942,12.525742852402603
N,60,1,2,Patch transformer,SNV + patches(16),54,0.8987933397293091,108803,mps,0.21759199892739456,0.3049774253014091,0.4691254604794971,1.131649333254455,0.46707949910409613,34.70545680416601
P,60,1,2,Patch transformer,SNV + patches(16),54,0.8987933397293091,108803,mps,6.944488677889505,8.73435157908215,-0.05920391163050365,0.9417608079459056,8.905309097695598,1.919725825773828
K,60,1,2,Patch transformer,SNV + patches(16),54,0.8987933397293091,108803,mps,0.9053055853416164,1.1477545536184923,-1.2453769122902054,0.22372596927666227,0.7721704359016197,-48.64005409354015
N,60,1,3,Patch transformer,SNV + patches(16),71,0.507724404335022,108803,mps,0.2572249064697822,0.3276365050116874,0.31559097120726043,1.3602727204775364,0.4375478100257541,25.11983890574091
P,60,1,3,Patch transformer,SNV + patches(16),71,0.507724404335022,108803,mps,25.298397927893003,38.552876277802554,-0.5655658447055345,0.7770904636043828,35.065729919698306,-9.944599374061026
K,60,1,3,Patch transformer,SNV + patches(16),71,0.507724404335022,108803,mps,2.8786343458771513,4.31173218310789,-0.459240744055724,0.9412145345898569,4.214779893742693,-2.3002930594105995
N,60,1,4,Patch transformer,SNV + patches(16),17,0.7209357619285583,108803,mps,0.45970898921417686,0.7169122108962634,0.04461543732149442,0.5147457309154383,0.814515361273193,11.982972331468764
P,60,1,4,Patch transformer,SNV + patches(16),17,0.7209357619285583,108803,mps,19.304445778223673,37.52639333340446,-0.17500889648942541,0.44913821987248587,37.77928612426888,0.6693953666370824
K,60,1,4,Patch transformer,SNV + patches(16),17,0.7209357619285583,108803,mps,0.8528085966843624,1.0217370293703727,-0.06704928715311498,1.6306799526953384,1.1509060057481812,11.223242882796356
N,60,1,5,Patch transformer,SNV + patches(16),28,0.5842380523681641,108803,mps,0.48385404436752194,0.931413753350594,0.17890659831282252,1.016229357355985,1.1990443582112937,22.32032560162702
P,60,1,5,Patch transformer,SNV + patches(16),28,0.5842380523681641,108803,mps,6.58182619198799,10.330252067678137,0.13407828209428385,0.9981123822003194,11.516071309372032,10.297081442426027
K,60,1,5,Patch transformer,SNV + patches(16),28,0.5842380523681641,108803,mps,1.6723327649767519,3.8786854640727513,0.10725866507459236,0.11959722032033766,4.2628855924161515,9.012677446162478
N,120,1,1,Patch transformer,SNV + patches(16),53,0.7849311232566833,108803,mps,0.2622473790359199,0.4456448512819891,0.4484113697122548,0.5825715236093263,0.6373328703346915,30.076593876609348
P,120,1,1,Patch transformer,SNV + patches(16),53,0.7849311232566833,108803,mps,9.870889434325589,16.031596837696878,0.005856570358681368,0.8803171725735263,16.73596743224872,4.2087235016637505
K,120,1,1,Patch transformer,SNV + patches(16),53,0.7849311232566833,108803,mps,0.7629848028095337,1.366320445296274,-0.4306895858851225,0.26999298389800575,1.1589076900122686,-17.89726283391991
N,120,1,2,Patch transformer,SNV + patches(16),4,0.7207147479057312,108803,mps,0.606106204846104,0.9771993864807861,-0.42699112508742254,0.9313171012903562,1.0108126245749012,3.325367855219576
P,120,1,2,Patch transformer,SNV + patches(16),4,0.7207147479057312,108803,mps,13.947054560124078,23.81361975634607,-0.38711175528939923,0.6790448140791671,23.25075931031931,-2.4208260836322384
