target,budget,repeat,fold,model,preprocessing,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
N,60,1,1,PLS (10 komponen),SG derivative,0.24579370621717422,0.4159139997179899,0.6965368239188551,0.8749885799630588,0.8273192038798165,49.72750568734421
N,60,1,2,PLS (5 komponen),SG derivative,0.14468085047752818,0.20352595346608782,0.7635735256893907,1.6957419637270306,0.46707949910409613,56.425843168781675
N,60,1,3,PLS (5 komponen),SG derivative,0.19298189844644953,0.24232832519628628,0.6255968252937214,1.8391370453247786,0.4375478100257541,44.616720814572744
N,60,1,4,PLS (10 komponen),SG derivative,0.17213912352253144,0.2788588739849632,0.8554509628714201,1.3233485982586983,0.814515361273193,65.76382874485381
N,60,1,5,PLS (10 komponen),SG derivative,0.3442798714930195,0.5241768577914241,0.7399463490046843,1.8057454958773382,1.1990443582112937,56.283780979264286
N,60,2,1,PLS (2 komponen),SG derivative,0.21820504835748344,0.2976305533257453,0.5772642189673142,0.73690351191854,0.48220316243087136,38.27693874396488
N,60,2,2,PLS (10 komponen),SNV,0.2937399131196262,0.3973360650533071,0.6939350817873936,1.7962502344312672,0.9393790972676225,57.70226671968315
N,60,2,3,PLS (10 komponen),SNV,0.15254411570173662,0.20465522075629164,0.8581765690476288,0.4797092379915837,0.552615624658466,62.96608137296606
N,60,2,4,PLS (5 komponen),SG derivative,0.17610648633144585,0.2260056633256132,0.7765172091452139,1.9307812626416894,0.5419234991444826,58.295651751141776
N,60,2,5,PLS (2 komponen),SG derivative,0.3769988004722908,0.7234493389431625,0.5532656732382669,0.7277496455648339,1.2221614047422977,40.80574495839954
P,60,1,1,PCA 95% + Ridge,SNV,14.10077344387743,23.43156842341578,-0.3536818524976044,0.6613910652482405,24.156710923220352,3.00182629211967
P,60,1,2,PCA 95% + Ridge,SNV,6.6838609510793034,9.792855954637638,-0.3314871211386139,0.8399664038869622,8.905309097695598,-9.966491305413614
P,60,1,3,PLS (10 komponen),SG derivative,53.90962698309718,119.9626441153538,-14.158276609371512,0.2497366802885065,35.065729919698306,-242.10793384330586
P,60,1,4,PCA 95% + Ridge,SNV,17.799847568883145,33.556844788312105,0.0604287040913325,0.502268243821018,37.77928612426888,11.176604348922138
P,60,1,5,PCA 95% + Ridge,SNV,9.38360542932447,15.805400753771371,-1.0270656703157228,0.6523562838189801,11.516071309372032,-37.2464647809934
P,60,2,1,PLS (5 komponen),SNV,9.83975309851765,13.026044645613952,-0.13835776621750662,1.0976804846753294,13.87839071611901,6.141533899280584
P,60,2,2,PLS (2 komponen),SG derivative,25.22171716409059,41.09699738351826,-0.34886193557703415,0.5412894229815776,41.10739631331832,0.025296979942006602
P,60,2,3,PLS (2 komponen),SNV,8.576276809951837,12.695447068608196,0.3448120634444801,0.7930335139512142,16.707559883536007,24.01375690343288
P,60,2,4,PLS (5 komponen),SNV,5.796019558913131,8.592148073816679,-0.3820829916048285,1.009096610709201,7.540248477453068,-13.950463297184596
P,60,2,5,PCA 95% + Ridge,SNV,17.765934792829757,26.03265711801015,0.3113035651210907,0.9137453734426253,35.1229886927604,25.881429551079073
K,60,1,1,PLS (10 komponen),SG derivative,2.359848765188141,3.75723512596575,-5.173796437140915,0.2837460342274949,1.7422233128591942,-115.65749340133002
K,60,1,2,PLS (10 komponen),SG derivative,1.1693864079820144,1.620733429249988,-3.477281326314844,0.1584359866747667,0.7721704359016197,-109.893224849712
K,60,1,3,PLS (2 komponen),SG derivative,2.3042995480044253,3.7615216297340743,-0.11058171621504842,1.078889183547485,4.214779893742693,10.754019793098353
K,60,1,4,PCA 95% + Ridge,SNV,0.9369979693238588,1.1620186875870204,-0.38016954032394423,1.4338203924934583,1.1509060057481812,-0.9655594621400071
K,60,1,5,PLS (2 komponen),SG derivative,1.996755190934331,4.05899445866086,0.02232741964084184,0.11428446250036096,4.2628855924161515,4.782937034904771
K,60,2,1,PLS (2 komponen),SNV,1.3610423182729212,3.213948456533325,0.10464981293828235,0.09592795409436995,3.490039514826921,7.910829006968645
K,60,2,2,PLS (2 komponen),SNV,0.6454832995568132,0.8506373512801868,-0.45593337895494557,0.8863142349227175,0.929528882681799,8.487259822847134
K,60,2,3,PCA 95% + Ridge,SNV,2.1559764350689234,4.271401397934652,-0.06759969102750518,0.16580749444808326,4.40597292252144,3.054297585419006
K,60,2,4,PCA 95% + Ridge,SNV,1.0237933841029618,1.6544397984601555,0.08939903549045469,1.6286003979362118,2.0127613737750933,17.802486672470135
K,60,2,5,PLS (2 komponen),SNV,1.1624825860660208,1.600586384171074,0.19858536306980545,0.9699913827544216,2.0517592378672758,21.989561219920645
N,120,1,1,PLS (10 komponen),SNV,0.18525916550042454,0.3035827504034005,0.7440284480502208,0.8551869289510593,0.6373328703346915,52.36668865925967
N,120,1,2,PLS (10 komponen),SG derivative,0.2599133390012689,0.4174651461114465,0.7395674006656496,2.180020316611161,1.0108126245749012,58.70004628335424
N,120,1,3,PLS (5 komponen),SG derivative,0.16094718535679164,0.278840792410668,0.8530088048422739,0.5666315844035565,0.7580497785016733,63.216031411312855
N,120,1,4,PLS (5 komponen),SG derivative,0.1573285412799008,0.20195646400535713,0.7834318687146014,0.5529161968147647,0.4446952195998989,54.58542050731704
N,120,1,5,PLS (10 komponen),SNV,0.11385860351825348,0.2042686328589539,0.895524048527872,1.993575784497398,0.7145803969113622,71.4141846401236
N,120,2,1,PLS (10 komponen),SNV,0.15745895476190172,0.21693257838487978,0.9063744574955038,1.2842584644235173,0.7694254045065057,71.80589864666399
N,120,2,2,PLS (5 komponen),SG derivative,0.14318982222074067,0.2033526350492541,0.5775553622528766,0.8012559068169185,0.31450535375819333,35.34207522406716
N,120,2,3,PLS (10 komponen),SNV,0.20435616042030927,0.29223979716663223,0.8601912012632409,1.549444329348213,0.8760533807387301,66.6413253356546
N,120,2,4,PLS (5 komponen),SG derivative,0.16278814427271912,0.2706446017053992,0.7798629496270926,0.973278234038928,0.6110276486379319,55.706652177081544
N,120,2,5,PLS (10 komponen),SG derivative,0.21450908234222088,0.38915369177027914,0.7513137950013553,2.5934226536793674,0.9386597803384356,58.541561072322814
P,120,1,1,PLS (5 komponen),SNV,8.621918102470785,13.721282800926986,0.2717425904402533,1.0285401303037467,16.73596743224872,18.013208041458697
P,120,1,2,PCA 95% + Ridge,SNV,14.530110360384393,23.39262144414887,-0.3385001012382678,0.6912656214528143,23.25075931031931,-0.6101397891405486
P,120,1,3,PCA 95% + Ridge,SNV,11.58076358386541,18.713102941954972,-0.04443157044296475,0.6430014593155949,19.76847331360908,5.338653900640698
P,120,1,4,PLS (2 komponen),SNV,8.834851368126628,12.029434709165445,0.04141497128422145,1.0833640827752684,12.743658262338325,5.604541007535053
P,120,1,5,PLS (2 komponen),SNV,21.401263940035374,37.05086722225575,-0.22875870413327348,0.6994845719679256,38.38259505264647,3.4696138407632326
P,120,2,1,PLS (2 komponen),SNV,17.54521274392197,30.0233995349902,-0.14525665322748615,0.7463033116515235,31.385632049596158,4.340306138978917
P,120,2,2,PLS (2 komponen),SNV,12.732530585297448,22.330698083339144,-0.09005348142513969,0.4806213383901134,23.282651737506452,4.088682272534227
P,120,2,3,PLS (2 komponen),SG derivative,18.67559083215804,30.354993512038394,-0.2698548031751411,1.2205166502607532,31.929558384935824,4.931370656351763
P,120,2,4,PLS (5 komponen),SNV,6.965522609977021,10.301215182737481,-0.06671219860529942,1.2995321195147147,10.48852290354835,1.7858350745222822
