target,budget,n_folds,mae_median,mae_q025,mae_q975,rmse_median,rmse_q025,rmse_q975,r2_median,r2_q025,r2_q975,rpiq_median,rpiq_q025,rpiq_q975,baseline_rmse_median,baseline_rmse_q025,baseline_rmse_q975,rmse_improvement_pct_median,rmse_improvement_pct_q025,rmse_improvement_pct_q975
K,60,10,1.265214363127468,0.7110741002543984,2.3473501913218047,2.4341941274967405,0.9206981519492243,4.223609836598049,-0.0890907036212768,-4.792080537205049,0.17744986429021278,0.5850301345751062,0.10005816848571793,1.5847748967115924,2.0322603058211843,0.8075760864271601,4.37377827324775,6.346883020936708,-114.36053297721597,21.04746944674428
K,120,10,0.9604319103736203,0.5957449247222152,1.749491061974041,1.4932767700068474,1.0118119885678991,3.5952072880329795,0.08674814355779098,-0.3275590321197933,0.3969819904537989,0.7533472745740499,0.28045675644561385,1.1604370383631954,1.6549492925424745,1.1340358739029903,4.013067830847832,10.284269038404013,-4.217944557447183,27.921879730863875
K,180,10,0.8089051590558325,0.6085887864484545,1.2820749943677667,1.306836891881435,0.882417558791436,2.966449115701599,0.11522498479684307,-0.35389816573699245,0.34781324654492096,0.7996545118177483,0.47624152338653153,1.5862094040335546,1.7348083997595578,0.8739222030550235,3.306013858008283,16.35975026422612,-9.358234065019868,26.22162399905335
K,240,10,0.7656274207796014,0.6367196620281136,1.023462030194803,1.2130749678205792,0.932270326939932,2.1904766519563563,0.2134039866236061,0.05746279088054652,0.5844120627661962,0.8572633085949588,0.3590090875904053,1.339571857371031,1.6225579975096398,1.277009517684135,2.416510866165361,20.047862533822233,6.943362576664709,39.871862115417294
K,300,10,0.759684342413099,0.5619682608195061,0.8938936910949284,1.2274000170239419,0.7971828277990138,2.047466121726729,0.20905268615020467,-0.11545580885239082,0.4420355291616844,0.8568094863773751,0.45731754824140186,1.4470171430608405,1.7623233074225926,1.0104927325950541,2.248469464385849,17.79612034673745,5.389463752973099,32.180562227692384
K,1000,10,0.6381011843609115,0.5531887317836268,0.8025500106361974,1.1245521254168283,0.8551165117795682,1.9211705389387275,0.4119918083040271,0.23600043489812456,0.5178366386112866,0.94738936504895,0.5869291278068903,1.1108146322405732,1.6178189402723469,1.1680294916335021,2.413032899924543,28.28935977342684,17.194640797917437,35.55809422505667
N,60,10,0.2055934734019665,0.14645008515297508,0.36963704145195475,0.2882447136553542,0.2037800386063837,0.6786130306840215,0.7182415864617697,0.5586653460273026,0.8575633076579818,1.5095452809928644,0.535518329695565,1.9101613137453846,0.6835654929658295,0.44419244006838104,1.2169600692728217,56.35481207402298,38.84592014221268,65.13433558617906
N,120,10,0.1618676648147554,0.1204581277263131,0.2496973812529831,0.2747426970580336,0.20227060249023396,0.41109506888468383,0.781647409170847,0.6140080708957506,0.9039331154777867,1.1287683492312226,0.5560021590222428,2.500407127839021,0.7363150877065178,0.3437980735725771,0.9945782346216965,58.62080367783852,39.17261324698548,71.7177629951924
N,180,10,0.16359545591649327,0.1016793492967579,0.24548339027609545,0.28301561006722287,0.1545637009090239,0.43186605219170143,0.8211156673443392,0.5836708515228239,0.9099889171218689,1.6611378693623577,1.1016165145957788,2.5488920958296726,0.7190242475741825,0.45924575244963206,0.9042314245347342,63.130379730122186,43.2413104328756,71.05371145939854
N,240,10,0.149802336561294,0.12490677146165337,0.1796887539653697,0.2515359161032753,0.20210490418251398,0.2905601172993933,0.8619150106497403,0.7496119338609378,0.8942714899468128,1.7114252732107509,1.020502433766604,3.0105299866105755,0.6975218194136288,0.5912596770136515,0.8069508991049882,66.1230070995027,54.84654051239015,69.49612624944056
N,300,10,0.13254138600017806,0.10859451957546902,0.17270151086036706,0.2218081771929654,0.15881316841316537,0.33181259945530844,0.8907072285532458,0.7942615792116202,0.9303106488160995,1.7076056596195357,1.0664473135955217,2.5162375223207465,0.6989847677257572,0.5316023825855415,0.901413464067113,69.45270175101064,57.94029188472746,76.00872938560312
N,1000,10,0.11251982073136596,0.09954666561897904,0.1386666471062793,0.20432717864539954,0.18427987988844635,0.2632125137987177,0.8984963839949547,0.8343073415720876,0.9215230430602446,1.873222719650053,1.3215537283899113,2.325201802017158,0.7268783614975476,0.6030957260507177,0.8648705719274083,70.64933959185223,61.83385813033173,74.31677193449734
P,60,10,11.970263271197538,5.99578387215052,47.45484727382071,19.618484588593574,8.862307347001394,102.21787360069084,-0.340174528357824,-11.20375414808396,0.3372726513217175,0.7272122895997274,0.3065562820833216,1.0777491130329506,20.43213540337818,7.847387117007638,40.3585715207822,1.5135616360308384,-196.01410330428556,25.46120320535868
P,120,10,12.606190911770385,7.338211595788118,20.787987490762976,20.521900512647058,10.690064576183772,35.54429563745684,-0.11765506732631292,-0.6821292299880888,0.2199188761301462,0.7548414021010155,0.5171568655983467,1.2817536389325734,21.509616311964194,10.995928359276094,36.93066180241158,4.214494205756572,-24.102946925219243,15.22125795882588
P,180,10,14.057666760584475,7.016083876273328,20.82167809230996,23.57953974167235,10.112350181384926,37.97554818393944,-0.16819582525910692,-0.35286428520271823,0.32941677298475247,0.8682169001704699,0.49870287155711285,1.1715913840005763,24.43471680361482,12.482586626694836,38.7969500211871,2.9439775497970944,-8.273938510235094,20.314788910902553
P,240,10,13.241538597576145,10.323175814479399,18.127376092548598,22.951833735077418,18.041054728879992,38.08456897945202,-0.07265398423997238,-0.8874414491184749,0.10688157024906188,0.6753474493893962,0.40123588121281173,1.23371245147278,23.636623864087426,17.989365567471527,38.79402355142876,4.195848684238698,-28.083702615543714,17.217627015960925
P,300,10,12.219330846490497,9.321517203435443,15.974561923112926,22.761743691516696,15.292129385602724,30.32489493779365,-0.07587658712544643,-0.21786248357500118,0.06732638216926724,0.699948665145747,0.4040990034094249,0.9072808998105035,23.842644210765457,15.709021796396517,31.831885187371956,4.898299545480798,2.008982383135547,6.59698262890978
P,1000,10,11.421507218163903,9.067566607278659,15.076782479081956,24.543373014308344,17.318036815351707,33.42555429836865,0.08664731151140048,0.012041932073270173,0.23382844840798714,0.6705155222557252,0.5244821662183435,0.7672634759571265,26.569094577861062,20.452439996455553,37.699479806791665,10.472345642477979,6.157231816496666,16.836156254605697
