family,target,budget,n_folds,model_bytes_median,mae_median,mae_q025,mae_q975,rmse_median,rmse_q025,rmse_q975,r2_median,r2_q025,r2_q975,rpiq_median,rpiq_q025,rpiq_q975,baseline_rmse_median,baseline_rmse_q025,baseline_rmse_q975,rmse_improvement_pct_median,rmse_improvement_pct_q025,rmse_improvement_pct_q975,fit_seconds_median,fit_seconds_q025,fit_seconds_q975
PCA–Gaussian Process,K,60,5,362747.0,1.0482556176881477,0.8258501396387423,2.2941022050964195,1.6600075940112218,0.9545103345488815,4.171799145738556,-0.2051350225108377,-0.5065993873862784,-0.026861090408769297,0.6422263190235844,0.12660934897029685,1.5994324678866285,1.7422233128591942,0.8100439928862758,4.258075022548805,4.719011520575207,-20.482143066503905,12.253410500504254,0.005675916996551678,0.005330532995867543,0.0071258791867876425
PCA–Gaussian Process,K,120,5,426500.0,0.9828763832428358,0.8085048280558911,1.7327067547269124,1.4671544176924227,1.0742560550038833,3.598342028634217,0.1592862008400715,-0.14654410681972777,0.20543971699907437,0.9084268730869277,0.35488244947038255,1.1409165687233955,1.6675276701993704,1.2055178623700742,3.892959826815275,9.714097320158512,7.279407244196406,20.825787280233527,0.008947333000833169,0.00789877878560219,0.01012749130022712
PCA–Gaussian Process,K,180,5,527108.0,0.7611951112572384,0.6831384344205915,1.4176001421621538,1.0822191512409483,0.885647404015121,2.814821650787062,-0.006791287138195878,-0.10107730587503783,0.2651304539756398,0.7322964383072168,0.5700352294925862,1.5279974819971642,1.2378774138601372,0.977047725526068,3.059387497830929,11.756997178684795,7.655028788694811,17.67802456617043,0.008678583020810038,0.008434975598356686,0.009124804398743436
PCA–Gaussian Process,K,240,5,664584.0,0.899813622368472,0.7169969439390692,0.9722437553757258,1.3327131896955848,1.0601862626732248,2.245337362773428,0.12091261287998112,0.0387636468629298,0.24931717305931073,0.630247762730362,0.4562896714716826,1.1870181970299991,1.6445064057924157,1.3565737456804083,2.3979313097170305,15.566534240917742,6.3742357287311595,22.302835050793266,0.010885208001127467,0.008832708606496454,0.012814050001907162
PCA–Gaussian Process,K,300,5,838920.0,0.8537817637385607,0.5728553885873676,0.9021383898510488,1.4592459416640513,0.7833929277725231,2.1295509410144526,0.139950592546225,0.01826846001240362,0.2600975656180461,0.8610514615363251,0.45117945208238974,1.3683162271098266,1.7944552577890898,0.9913010292671727,2.2555117577821506,15.64016151181568,5.641295292119533,21.42727987383445,0.012137041019741446,0.011822558593121358,0.013075563102029264
PCA–Gaussian Process,K,1000,5,5596695.0,0.6264778662465367,0.5578449737699326,0.80032611025989,1.0321376113425997,0.9749761004878275,1.9494666695246332,0.36166256289059784,0.24214885145502532,0.44966681424648164,0.9184896759805843,0.580403668395488,1.029982892652303,1.4706884680181938,1.2668658553636363,2.381657945663552,25.20223213676707,18.02260418735109,30.959782271394758,0.047467124997638166,0.04171956279024016,0.06882118330395315
PCA–Gaussian Process,N,60,5,362747.0,0.39077235249923814,0.289478063323515,0.5463718130291911,0.6241178231566546,0.3601542866915109,0.9162774689828921,0.25979201406395136,0.15043779489452455,0.312507537988208,0.9583649839244822,0.5838765338298373,1.2125563384857008,0.814515361273193,0.4405009789335883,1.161871842778146,22.8993885292639,17.945445566162647,24.438070248261763,0.006170917011331767,0.005361433001235127,0.014937987184384837
PCA–Gaussian Process,N,120,5,426500.0,0.2657588083578945,0.22726142085512283,0.42576984433714976,0.40168590117349595,0.3154136973251239,0.7584458898298637,0.4808269095490214,0.12062207019441298,0.6948204471664217,0.6463258960335406,0.3035571300952335,1.1943552503639032,0.7145803969113622,0.46395898467337815,0.9855363399675784,29.96481283164298,23.18734397005638,50.8863607305523,0.007353875000262633,0.007129933693795465,0.02458879589103162
PCA–Gaussian Process,N,180,5,527108.0,0.2447021730346638,0.21924208173652382,0.2748187033419879,0.4176992411468082,0.3519303916859827,0.5275164371100298,0.5729193082270043,0.3353602622876678,0.6883633738184796,0.9885534303503568,0.6478799811640588,1.6312353115496192,0.6916219281567669,0.5842377847924475,0.8262379634532007,39.26774617772026,24.125518964582472,50.17145848105254,0.008915708982385695,0.008489404799183831,0.025800271096522918
PCA–Gaussian Process,N,240,5,664584.0,0.21755701202846522,0.196912950499383,0.26913542079182984,0.40575021017810603,0.3456086530165885,0.45617605035554704,0.6425121666121734,0.3997279376615578,0.6840260900270203,0.925141154375456,0.6012167535094423,2.112301252402196,0.6589564844190157,0.6263512280693511,0.8068582281646978,46.59888980356617,27.731491247600363,48.60495777857495,0.011649916996248066,0.009081233013421296,0.031013045800500547
