sample_order,sample_id,dataset.code_ascii_txt,id.layer_uuid_txt,id.scan_local_c,scan.mir.model.name_utf8_txt,scan.mir.model.code_any_txt,scan.mir.method.preparation_any_txt,scan.mir.license.title_ascii_txt,scan.mir.license.address_idn_url,scan.mir.doi_idf_url,N,P,K
1,6f3380bee1fb7f08cf65b548f4dd0d7e,KSSL.SSL,6f3380bee1fb7f08cf65b548f4dd0d7e,181815XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.01104,1.54624,0.07117
2,2a70fd5d10ad11d40aa7dc7c2bd08c6b,LUCAS.WOODWELL.SSL,2a70fd5d10ad11d40aa7dc7c2bd08c6b,11089,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.15,47.8,0.234283083533685
3,4901fbbecccbc8523b1ffc26d1b5d9a4,KSSL.SSL,4901fbbecccbc8523b1ffc26d1b5d9a4,250544XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,3.44367,1.32669,0.0
4,a9fef1c7afb7ecd702b97eea9877847f,LUCAS.WOODWELL.SSL,a9fef1c7afb7ecd702b97eea9877847f,11983,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.12,0.0,0.29413269220932
5,836e490b36d38c7ede978670a87f373c,LUCAS.WOODWELL.SSL,836e490b36d38c7ede978670a87f373c,12086,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.11,0.0,2.96076525653486
6,b8d55a953c01cd342b1be147769776b5,KSSL.SSL,b8d55a953c01cd342b1be147769776b5,165897XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0,0.5166,0.18911
7,7a9bac2ad491995c7f729047a2e1c164,KSSL.SSL,7a9bac2ad491995c7f729047a2e1c164,254131XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.10812,101.44149,4.16829
8,9bf40fbc33c25dcf39d7b57bd6fc29b0,KSSL.SSL,9bf40fbc33c25dcf39d7b57bd6fc29b0,254807XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.01018,0.0,0.0
9,fc17b30b86ceb1f8655c9db11d7ce821,KSSL.SSL,fc17b30b86ceb1f8655c9db11d7ce821,248996XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,2.02866,37.2928,15.13991
10,9e4373497959b939f4f7b4124dec6a45,KSSL.SSL,9e4373497959b939f4f7b4124dec6a45,255240XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.15156,24.06916,0.57669
11,e12ed1de4ae395e58114affd9feb299d,LUCAS.WOODWELL.SSL,e12ed1de4ae395e58114affd9feb299d,11145,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.33,15.9,0.337101642027725
12,2060c6d3f228f6f93936240a6ba71361,LUCAS.WOODWELL.SSL,2060c6d3f228f6f93936240a6ba71361,11907,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.52,0.0,2.33464627346667
